Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,3.210000,3.470000,3.210000,3.440000,3.440000,198600
2020-07-07,3.460000,3.460000,3.270000,3.310000,3.310000,186700
2020-07-08,3.350000,4.540000,3.340000,4.190000,4.190000,4753000
2020-07-09,4.280000,4.390000,3.750000,3.770000,3.770000,896700
2020-07-10,3.810000,4.190000,3.810000,4.100000,4.100000,344400
2020-07-13,4.200000,4.200000,3.710000,3.720000,3.720000,437300
2020-07-14,3.900000,4.090000,3.790000,3.950000,3.950000,336400
2020-07-15,4.050000,4.300000,4.030000,4.200000,4.200000,382400
2020-07-16,4.170000,4.290000,3.980000,4.200000,4.200000,215700
2020-07-17,4.200000,4.400000,4.170000,4.180000,4.180000,189900
2020-07-20,4.180000,4.520000,4.100000,4.140000,4.140000,370300
2020-07-21,4.160000,4.390000,4.160000,4.240000,4.240000,207300
2020-07-22,4.190000,4.450000,4.190000,4.310000,4.310000,195200
2020-07-23,4.320000,4.430000,4.200000,4.270000,4.270000,163600
2020-07-24,4.290000,4.390000,4.210000,4.240000,4.240000,169600
2020-07-27,4.290000,4.340000,4.170000,4.220000,4.220000,152600
2020-07-28,4.300000,4.340000,4.190000,4.270000,4.270000,436500
2020-07-29,4.210000,4.300000,3.570000,3.630000,3.630000,792600
2020-07-30,3.710000,3.740000,3.550000,3.700000,3.700000,259400
2020-07-31,3.650000,3.660000,3.360000,3.450000,3.450000,331800
2020-08-03,3.420000,3.540000,3.350000,3.500000,3.500000,234300
2020-08-04,3.310000,3.340000,3.120000,3.220000,3.220000,403400
2020-08-05,3.280000,3.320000,3.220000,3.300000,3.300000,103700
2020-08-06,3.280000,3.320000,3.160000,3.200000,3.200000,121900
2020-08-07,3.210000,3.400000,3.200000,3.320000,3.320000,138800
2020-08-10,3.300000,3.520000,3.300000,3.420000,3.420000,207100
2020-08-11,3.420000,3.520000,3.340000,3.340000,3.340000,92900
2020-08-12,3.390000,3.420000,3.260000,3.390000,3.390000,124400
2020-08-13,3.390000,3.400000,3.310000,3.390000,3.390000,103000
2020-08-14,3.370000,3.490000,3.340000,3.480000,3.480000,144200
2020-08-17,3.520000,3.570000,3.380000,3.480000,3.480000,148200
2020-08-18,3.490000,3.500000,3.370000,3.380000,3.380000,73800
2020-08-19,3.350000,3.690000,3.350000,3.640000,3.640000,303400
2020-08-20,3.580000,3.950000,3.570000,3.810000,3.810000,270500
2020-08-21,3.780000,3.930000,3.670000,3.790000,3.790000,200500
2020-08-24,3.770000,4.180000,3.770000,4.120000,4.120000,332000
2020-08-25,4.120000,4.280000,3.990000,4.010000,4.010000,372400
2020-08-26,4.030000,4.160000,3.920000,3.940000,3.940000,111600
2020-08-27,3.950000,4.100000,3.910000,3.960000,3.960000,179800
2020-08-28,3.950000,4.300000,3.950000,4.230000,4.230000,314700
2020-08-31,4.250000,4.350000,4.110000,4.250000,4.250000,282300
2020-09-01,4.220000,4.590000,4.150000,4.490000,4.490000,687100
